accountsservice 0.6.55-1
acpi 1.7-2
acpid 2.0.32-1
alsa-firmware 1.2.1-2
alsa-plugins 1.2.2-1
alsa-utils 1.2.2-1
android-studio 3.6.0.21-1
ant 1.10.7-1
arandr 0.1.10-4
arduino 1:1.8.12-1
artwork-i3 20190912-1
asciiquarium 1.1-5
aspell-de 20161207-2
aspell-en 2018.04.16-1
autoconf 2.69-7
automake 1.16.1-2
avahi 0.8+6+g751be80-1
awesome-terminal-fonts-git 70.9be0f57-1
b43-fwcutter 019-3
baobab 3.34.0-1
bash 5.0.016-1
bb 1.3rc1-14
biber 1:2.13-1
binutils 2.34-1.1
bison 3.5.2-1
blueman 2.1.2-1
bmenu 0.5-3
brave 1.4.96-1
broot 0.13.2-1
btrfs-progs 5.4-1
bullshit 0.0-3
bzip2 1.0.8-3
calcurse 4.5.1-1
cantarell-fonts 1:0.201-1
ccstudio 9.3.0.00012-1
clion 1:2019.3.4-1
clipit 1:1.4.3-2
cmatrix 2.0-1
compton-tryone-git 0.1_beta2.95.g241bbc5-1
cool-retro-term-git 1.1.0.r63.g64e007f-1
coreutils 8.31-3
cowfortune 0.1.2-6
cpupower 5.5-1
crda 4.14-3
cronie 1.5.5-1
cryptsetup 2.3.0-1.1
deluge-gtk 2.0.4.dev23+g2f1c008a2-3
device-mapper 2.02.186-5
dfc 3.1.1-1
dhclient 4.4.2-2
dhcpcd 8.1.6-1
diffutils 3.7-3
discord 0.0.10-2
dkms 2.8.1-1
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.80-4
docker 1:19.03.7-1
docker-compose 1.25.4-1
dosfstools 4.1-3
downgrade 6.2.3-1
dragon-drag-and-drop 1.1.1-1
e2fsprogs 1.45.5-1
ecryptfs-utils 111-3
efibootmgr 16-2
emacs 26.3-1
emoji-keyboard-git r627.51c6efeb1-2
espanso 0.5.2-1
evince 3.34.2-1
exfat-utils 1.3.0-1
f2fs-tools 1.13.0-1
fakeroot 1.24-2
feh 3.3-2
ffcast 1:2.5.0-1
ffmpeg 1:4.2.2-3
ffmpegthumbnailer 2.2.2-1
figlet 2.2.5-3
file 5.38-3
filesystem 2019.10-4
findutils 4.7.0-2
fish 3.1.0-2
flac 1.3.3-1
flameshot 0.6.0-3
flashfocus-git v2.1.1.r0.g40d548a-1
flatpak 1.6.2-1
flex 2.6.4-3
gawk 5.0.1-2
gcc 9.2.1+20200130-2
gcc-libs 9.2.1+20200130-2
gcolor2 0.4-8
gconf 3.2.6+11+g07808097-7
gettext 0.20.1-3
gimp 2.10.18-2
git 2.25.1-1
gksu-polkit 0.0.3-2
glibc 2.31-1
gnome-keyring 1:3.34.0-2
google-chrome 80.0.3987.132-1
gotop 3.5.0-1
gparted 1.1.0-1
gpick 0.2.6rc1-7
gpointing-device-settings 1.5.1-5
grep 3.4-1
grub 2.04-10
grub-customizer 5.1.0-1
grub-theme-manjaro-dev 18.0-3
gst-libav 1.16.2-1
gst-plugins-bad 1.16.2-3
gst-plugins-base 1.16.2-1
gst-plugins-good 1.16.2-2
gst-plugins-ugly 1.16.2-2
gstreamer 1.16.2-1
gtk3 1:3.24.14+9+g429a6287e0-1
gtksourceview-pkgbuild 4-2
gufw 19.10.0-2
gvfs 1.42.2-2
gvfs-afc 1.42.2-2
gvfs-gphoto2 1.42.2-2
gvfs-mtp 1.42.2-2
gvfs-smb 1.42.2-2
gzip 1.10-3
haveged 1.9.8-1
hexchat 2.14.3-1
htop 2.2.0-3
i3-battery-popup-git r26.4b15592-1
